酥=polar:-1, frequency:14
暴躁=polar:-1, frequency:8
无知=polar:-1, frequency:8
无常=polar:-1, frequency:8
无助=polar:-1, frequency:8
放肆=polar:-1, frequency:8
愤怒=polar:-1, frequency:8
宁静=polar:1, frequency:8
妙=polar:1, frequency:8
坦荡=polar:1, frequency:8
友好=polar:1, frequency:8
勇=polar:1, frequency:8
冷漠=polar:-1, frequency:8
先进=polar:1, frequency:8
严=polar:-1, frequency:8
不良=polar:-1, frequency:8
不利=polar:-1, frequency:8
高贵=polar:1, frequency:7
高大=polar:1, frequency:7
频繁=polar:-1, frequency:7
长寿=polar:1, frequency:7
透明=polar:1, frequency:7
迷人=polar:1, frequency:7
过瘾=polar:1, frequency:7
衰老=polar:-1, frequency:7
虚伪=polar:-1, frequency:7
脆弱=polar:-1, frequency:7
简约=polar:1, frequency:7
灵动=polar:1, frequency:7
清洁=polar:1, frequency:7
混=polar:-1, frequency:7
活泼=polar:1, frequency:7
洒脱=polar:1, frequency:7
正直=polar:1, frequency:7
斜=polar:-1, frequency:7
懒惰=polar:-1, frequency:7
慧=polar:1, frequency:7
慈悲=polar:1, frequency:7
惋惜=polar:-1, frequency:7
忠=polar:1, frequency:7
巧妙=polar:1, frequency:7
寒冷=polar:-1, frequency:7
客观=polar:1, frequency:7
威武=polar:1, frequency:7
好笑=polar:1, frequency:7
奢华=polar:-1, frequency:7
勤奋=polar:1, frequency:7
准时=polar:1, frequency:7
关键=polar:1, frequency:7
伤感=polar:-1, frequency:7
不易=polar:-1, frequency:7
鲜美=polar:1, frequency:6
鲜活=polar:1, frequency:6
难忘=polar:1, frequency:6
野=polar:-1, frequency:6
酥脆=polar:1, frequency:6
邪=polar:-1, frequency:6
透彻=polar:1, frequency:6
贪婪=polar:-1, frequency:6
诚=polar:1, frequency:6
虚假=polar:-1, frequency:6
舒坦=polar:1, frequency:6
羞涩=polar:-1, frequency:6
纯净=polar:1, frequency:6
精致=polar:1, frequency:6
粗糙=polar:-1, frequency:6
简易=polar:1, frequency:6
破=polar:-1, frequency:6
矮=polar:-1, frequency:6
知足=polar:1, frequency:6
玲珑=polar:1, frequency:6
热烈=polar:1, frequency:6
灵活=polar:1, frequency:6
潇洒=polar:1, frequency:6
清白=polar:1, frequency:6
混乱=polar:-1, frequency:6
深厚=polar:1, frequency:6
浮躁=polar:-1, frequency:6
气愤=polar:-1, frequency:6
正当=polar:1, frequency:6
曼=polar:1, frequency:6
明亮=polar:1, frequency:6
敦=polar:1, frequency:6
敏=polar:1, frequency:6
愧疚=polar:-1, frequency:6
愚蠢=polar:-1, frequency:6
愚=polar:-1, frequency:6
惨不忍睹=polar:-1, frequency:6
悲观=polar:-1, frequency:6
忧郁=polar:-1, frequency:6
忠实=polar:1, frequency:6
平淡=polar:-1, frequency:6
平坦=polar:1, frequency:6
尖锐=polar:1, frequency:6
宜=polar:1, frequency:6
安生=polar:1, frequency:6
奇怪=polar:-1, frequency:6
固定=polar:1, frequency:6
和谐=polar:1, frequency:6
吃亏=polar:-1, frequency:6
可贵=polar:1, frequency:6
可口=polar:1, frequency:6
发达=polar:1, frequency:6
友=polar:1, frequency:6
卑微=polar:-1, frequency:6
低落=polar:-1, frequency:6
低级=polar:-1, frequency:6
优美=polar:1, frequency:6
严谨=polar:1, frequency:6
专心=polar:1, frequency:6
丑陋=polar:-1, frequency:6
不好意思=polar:-1, frequency:6
