鼓掌=polar:1, frequency:9
闷=polar:-1, frequency:6
鄙视=polar:-1, frequency:6
部署=polar:1, frequency:6
逼迫=polar:-1, frequency:6
造就=polar:1, frequency:6
逃避=polar:-1, frequency:6
追究=polar:-1, frequency:6
过关=polar:1, frequency:6
超出=polar:-1, frequency:6
赶走=polar:-1, frequency:6
贪=polar:-1, frequency:6
调戏=polar:-1, frequency:6
误导=polar:-1, frequency:6
误会=polar:-1, frequency:6
访问=polar:1, frequency:6
解除=polar:1, frequency:6
虚拟=polar:-1, frequency:6
节省=polar:1, frequency:6
耀=polar:1, frequency:6
终止=polar:-1, frequency:6
祝愿=polar:1, frequency:6
示弱=polar:-1, frequency:6
破裂=polar:-1, frequency:6
痛哭=polar:-1, frequency:6
牢记=polar:1, frequency:6
热恋=polar:1, frequency:6
激励=polar:1, frequency:6
滚蛋=polar:-1, frequency:6
深信=polar:1, frequency:6
浮=polar:-1, frequency:6
气死=polar:-1, frequency:6
欢喜=polar:1, frequency:6
期盼=polar:1, frequency:6
易=polar:1, frequency:6
斥=polar:-1, frequency:6
斗殴=polar:-1, frequency:6
敞开=polar:1, frequency:6
放手=polar:1, frequency:6
援助=polar:1, frequency:6
掩饰=polar:-1, frequency:6
捕捉=polar:-1, frequency:6
指望=polar:1, frequency:6
招待=polar:1, frequency:6
拆除=polar:-1, frequency:6
担任=polar:1, frequency:6
抹黑=polar:-1, frequency:6
投降=polar:-1, frequency:6
扩展=polar:1, frequency:6
打架=polar:-1, frequency:6
懒得=polar:-1, frequency:6
感慨=polar:-1, frequency:6
恳请=polar:1, frequency:6
开除=polar:-1, frequency:6
少不了=polar:1, frequency:6
奋战=polar:1, frequency:6
夺得=polar:1, frequency:6
夸张=polar:-1, frequency:6
头晕=polar:-1, frequency:6
处置=polar:-1, frequency:6
埋怨=polar:-1, frequency:6
困扰=polar:-1, frequency:6
哀悼=polar:-1, frequency:6
启迪=polar:1, frequency:6
取胜=polar:1, frequency:6
发觉=polar:1, frequency:6
发明=polar:1, frequency:6
反击=polar:-1, frequency:6
占用=polar:-1, frequency:6
协调=polar:1, frequency:6
升起=polar:1, frequency:6
劫持=polar:-1, frequency:6
出卖=polar:-1, frequency:6
凝=polar:1, frequency:6
冒充=polar:-1, frequency:6
关怀=polar:1, frequency:6
伤亡=polar:-1, frequency:6
争执=polar:-1, frequency:6
