魔王=polar:-1, frequency:13
活力=polar:1, frequency:7
气势=polar:1, frequency:7
毒品=polar:-1, frequency:7
松=polar:1, frequency:7
机械=polar:-1, frequency:7
敌人=polar:-1, frequency:7
招牌=polar:-1, frequency:7
怪物=polar:-1, frequency:7
康=polar:1, frequency:7
废话=polar:-1, frequency:7
废墟=polar:-1, frequency:7
尸体=polar:-1, frequency:7
害=polar:-1, frequency:7
妓女=polar:-1, frequency:7
大宝=polar:1, frequency:7
大众=polar:1, frequency:7
名声=polar:1, frequency:7
口碑=polar:1, frequency:7
口才=polar:1, frequency:7
前辈=polar:1, frequency:7
冷战=polar:-1, frequency:7
决心=polar:1, frequency:7
人情=polar:1, frequency:7
事迹=polar:1, frequency:7
义=polar:1, frequency:7
丑闻=polar:-1, frequency:7
黑帮=polar:-1, frequency:6
高潮=polar:1, frequency:6
高层=polar:1, frequency:6
骁=polar:1, frequency:6
风波=polar:-1, frequency:6
风尚=polar:1, frequency:6
预谋=polar:-1, frequency:6
钢铁=polar:1, frequency:6
逆境=polar:-1, frequency:6
见闻=polar:1, frequency:6
见识=polar:1, frequency:6
肥肉=polar:-1, frequency:6
美人=polar:1, frequency:6
纯良=polar:1, frequency:6
精髓=polar:1, frequency:6
精品=polar:1, frequency:6
精=polar:1, frequency:6
笨蛋=polar:-1, frequency:6
监狱=polar:-1, frequency:6
白金=polar:1, frequency:6
用心=polar:1, frequency:6
景色=polar:1, frequency:6
无辜=polar:1, frequency:6
方舟=polar:1, frequency:6
新手=polar:-1, frequency:6
战场=polar:-1, frequency:6
愉=polar:1, frequency:6
惺=polar:1, frequency:6
忧=polar:-1, frequency:6
巴掌=polar:-1, frequency:6
小人=polar:-1, frequency:6
导师=polar:1, frequency:6
壮士=polar:1, frequency:6
坏事=polar:-1, frequency:6
地位=polar:1, frequency:6
善意=polar:1, frequency:6
君子=polar:1, frequency:6
后台=polar:-1, frequency:6
名言=polar:1, frequency:6
名人=polar:1, frequency:6
厨师=polar:1, frequency:6
功劳=polar:1, frequency:6
光芒=polar:1, frequency:6
修养=polar:1, frequency:6
俊杰=polar:1, frequency:6
伯乐=polar:1, frequency:6
乞丐=polar:-1, frequency:6
丹心=polar:1, frequency:6
骗局=polar:-1, frequency:5
风范=polar:1, frequency:5
风度=polar:1, frequency:5
霸王=polar:-1, frequency:5
陷阱=polar:-1, frequency:5
锦旗=polar:1, frequency:5
野性=polar:-1, frequency:5
野兽=polar:-1, frequency:5
过错=polar:-1, frequency:5
贪官=polar:-1, frequency:5
诀窍=polar:1, frequency:5
许=polar:1, frequency:5
觉悟=polar:1, frequency:5
莹=polar:1, frequency:5
苦难=polar:-1, frequency:5
脏话=polar:-1, frequency:5
老将=polar:1, frequency:5
翡翠=polar:1, frequency:5
罪恶=polar:-1, frequency:5
绝技=polar:1, frequency:5
细菌=polar:-1, frequency:5
端=polar:1, frequency:5
窍门=polar:1, frequency:5
秩序=polar:1, frequency:5
祝=polar:1, frequency:5
知己=polar:1, frequency:5
真话=polar:1, frequency:5
疾风=polar:-1, frequency:5
疑=polar:-1, frequency:5
甜言蜜语=polar:-1, frequency:5
灵=polar:1, frequency:5
火花=polar:1, frequency:5
清华=polar:1, frequency:5
泰山=polar:1, frequency:5
江山=polar:1, frequency:5
